Apartment,Address,Price,Beds,Amenities
Bay Crossing,"4711 S Himes Ave, Tampa, FL 33611","$1,399 - $3,448",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Cortland Lakecrest,"10420 N McKinley Dr, Tampa, FL 33612","$1,574 - $5,626",1-3 Beds,"['Pets Allowed', 'Pool', 'Dishwasher', 'Refrigerator', 'Kitchen', 'In Unit Washer & Dryer']"
Veranda at Westchase,"12401 W Hillsborough Ave, Tampa, FL 33635","$1,441 - $3,179",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Lodge at Hidden River,"14059 Riveredge Dr, Tampa, FL 33637","$1,608 - $3,827",1-3 Beds,"['Pets Allowed', 'Pool', 'Kitchen', 'In Unit Washer & Dryer', 'Stainless Steel Appliances']"
M South,"5110 S Manhattan Ave, Tampa, FL 33611","$1,947 - $3,330",1-3 Beds,"['Fitness Center', 'Pool', 'Clubhouse', 'Balcony']"
Anchor Riverwalk,"109 W Fortune St, Tampa, FL 33602","$1,977 - $6,858",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
The Pearl,"2110 N Ola Ave, Tampa, FL 33602","$2,207 - $4,144",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Oasis at Highwoods Preserve,"18311 Highwoods Preserve Pky, Tampa, FL 33647","$1,692 - $2,694",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Cortona South Tampa,"5145 S Dale Mabry Hwy, Tampa, FL 33611","$2,100 - $5,412",1-3 Beds,"['Pets Allowed', 'Pool', 'Clubhouse', 'Microwave', 'Grill', 'Business Center']"
Lector 85,"2409 E 2nd Ave, Ybor City, FL 33605","$1,486 - $5,127",Studio - 3 Beds,"['Pets Allowed', 'Pool', 'Maintenance on site']"
Doral Oaks,"105 Sunnyside Rd, Temple Terrace, FL 33617","$1,299 - $2,900",1-3 Beds,"['Pets Allowed', 'High-Speed Internet', 'Smoke Free']"
Havana Square Apartments,"400 N Rome Ave, Tampa, FL 33606","$1,863 - $5,773",1-3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Yard', 'Microwave']"
Olympus Harbour Island,"301 Harbour Place Dr, Tampa, FL 33602","$2,371 - $5,141",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
Grady Square,"2615 N Grady Ave, Tampa, FL 33607","$1,674 - $4,884",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Conference Rooms', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
Raintree Park,"12710 English Hills Ct, Tampa, FL 33617","$1,509 - $1,659",2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Grill', 'Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets']"
